committer.date,committer.date_first,committer.date_last,time,freq
1,2022-09-08,2022-09-08,1,1.0
1,2017-11-04,2017-11-04,1,1.0
1,2021-10-30,2021-10-30,1,1.0
1,2022-02-05,2022-02-05,1,1.0
1,2021-06-17,2021-06-17,1,1.0
1,2022-03-08,2022-03-08,1,1.0
1,2024-01-19,2024-01-19,1,1.0
1,2018-09-12,2018-09-12,1,1.0
1,2019-10-18,2019-10-18,1,1.0
1,2021-12-01,2021-12-01,1,1.0
1,2020-11-24,2020-11-24,1,1.0
1,2021-05-05,2021-05-05,1,1.0
1,2022-11-12,2022-11-12,1,1.0
1,2024-05-28,2024-05-28,1,1.0
1,2021-03-15,2021-03-15,1,1.0
1,2019-03-18,2019-03-18,1,1.0
1,2021-04-22,2021-04-22,1,1.0
1,2023-08-14,2023-08-14,1,1.0
1,2019-10-08,2019-10-08,1,1.0
1,2023-07-25,2023-07-25,1,1.0
1,2022-10-27,2022-10-27,1,1.0
1,2021-02-25,2021-02-25,1,1.0
1,2023-08-14,2023-08-14,1,1.0
1,2019-10-26,2019-10-26,1,1.0
1,2022-07-28,2022-07-28,1,1.0
1,2021-03-08,2021-03-08,1,1.0
1,2022-11-23,2022-11-23,1,1.0
1,2022-02-06,2022-02-06,1,1.0
1,2021-01-13,2021-01-13,1,1.0
1,2022-02-06,2022-02-06,1,1.0
1,2024-03-11,2024-03-11,1,1.0
1,2017-03-10,2017-03-10,1,1.0
1,2023-12-22,2023-12-22,1,1.0
1,2024-02-20,2024-02-20,1,1.0
1,2020-11-12,2020-11-12,1,1.0
1,2023-02-04,2023-02-04,1,1.0
1,2019-04-25,2019-04-25,1,1.0
1,2020-02-03,2020-02-03,1,1.0
1,2023-11-13,2023-11-13,1,1.0
1,2020-05-18,2020-05-18,1,1.0
1,2020-07-14,2020-07-14,1,1.0
1,2018-07-17,2018-07-17,1,1.0
1,2018-05-25,2018-05-25,1,1.0
1,2023-08-30,2023-08-30,1,1.0
1,2021-05-10,2021-05-10,1,1.0
1,2020-12-29,2020-12-29,1,1.0
1,2021-10-27,2021-10-27,1,1.0
1,2021-06-18,2021-06-18,1,1.0
1,2021-08-12,2021-08-12,1,1.0
1,2022-05-13,2022-05-13,1,1.0
1,2023-08-09,2023-08-09,1,1.0
1,2021-07-26,2021-07-26,1,1.0
1,2020-11-10,2020-11-10,1,1.0
1,2022-03-02,2022-03-02,1,1.0
1,2020-12-31,2020-12-31,1,1.0
1,2024-03-19,2024-03-19,1,1.0
1,2019-04-03,2019-04-03,1,1.0
1,2021-12-03,2021-12-03,1,1.0
1,2023-09-29,2023-09-29,1,1.0
1,2018-06-13,2018-06-13,1,1.0
1,2017-02-09,2017-02-09,1,1.0
1,2022-10-28,2022-10-28,1,1.0
1,2023-01-28,2023-01-28,1,1.0
1,2020-08-18,2020-08-18,1,1.0
1,2020-11-26,2020-11-26,1,1.0
1,2024-05-20,2024-05-20,1,1.0
1,2024-05-16,2024-05-16,1,1.0
1,2021-09-20,2021-09-20,1,1.0
1,2023-07-09,2023-07-09,1,1.0
1,2023-06-25,2023-06-25,1,1.0
1,2023-04-10,2023-04-10,1,1.0
1,2023-08-09,2023-08-09,1,1.0
1,2019-01-24,2019-01-24,1,1.0
1,2019-04-16,2019-04-16,1,1.0
1,2020-11-12,2020-11-12,1,1.0
1,2021-10-28,2021-10-28,1,1.0
1,2021-06-06,2021-06-06,1,1.0
1,2021-05-28,2021-05-28,1,1.0
1,2024-04-19,2024-04-19,1,1.0
1,2023-10-27,2023-10-27,1,1.0
1,2023-10-28,2023-10-28,1,1.0
1,2017-12-04,2017-12-04,1,1.0
1,2024-06-11,2024-06-11,1,1.0
1,2024-06-10,2024-06-10,1,1.0
1,2021-07-08,2021-07-08,1,1.0
1,2018-05-11,2018-05-11,1,1.0
1,2021-03-12,2021-03-12,1,1.0
1,2022-08-21,2022-08-21,1,1.0
1,2018-08-05,2018-08-05,1,1.0
1,2020-11-11,2020-11-11,1,1.0
1,2019-08-18,2019-08-18,1,1.0
1,2016-12-02,2016-12-02,1,1.0
1,2024-04-04,2024-04-04,1,1.0
1,2024-03-06,2024-03-06,1,1.0
1,2020-08-07,2020-08-07,1,1.0
1,2020-09-21,2020-09-21,1,1.0
1,2023-06-22,2023-06-22,1,1.0
1,2018-09-06,2018-09-06,1,1.0
1,2023-07-07,2023-07-07,1,1.0
1,2021-10-22,2021-10-22,1,1.0
1,2023-02-27,2023-02-27,1,1.0
1,2022-05-23,2022-05-23,1,1.0
1,2021-11-02,2021-11-02,1,1.0
1,2022-12-30,2022-12-30,1,1.0
1,2018-06-30,2018-06-30,1,1.0
1,2017-07-13,2017-07-13,1,1.0
1,2020-01-07,2020-01-07,1,1.0
1,2021-03-31,2021-03-31,1,1.0
1,2021-12-16,2021-12-16,1,1.0
1,2019-04-09,2019-04-09,1,1.0
1,2021-01-01,2021-01-01,1,1.0
1,2020-02-01,2020-02-01,1,1.0
1,2019-01-23,2019-01-23,1,1.0
1,2023-12-06,2023-12-06,1,1.0
1,2021-01-04,2021-01-04,1,1.0
1,2021-01-24,2021-01-24,1,1.0
1,2020-10-19,2020-10-19,1,1.0
1,2024-01-06,2024-01-06,1,1.0
1,2019-10-19,2019-10-19,1,1.0
1,2017-11-13,2017-11-13,1,1.0
1,2020-07-26,2020-07-26,1,1.0
1,2020-03-15,2020-03-15,1,1.0
1,2022-08-20,2022-08-20,1,1.0
1,2023-03-25,2023-03-25,1,1.0
1,2022-08-31,2022-08-31,1,1.0
1,2017-11-20,2017-11-20,1,1.0
1,2017-03-28,2017-03-28,1,1.0
1,2024-03-19,2024-03-19,1,1.0
1,2020-05-23,2020-05-23,1,1.0
1,2022-11-14,2022-11-14,1,1.0
1,2023-11-16,2023-11-16,1,1.0
1,2024-03-18,2024-03-18,1,1.0
1,2019-02-03,2019-02-03,1,1.0
1,2019-12-29,2019-12-29,1,1.0
1,2021-08-23,2021-08-23,1,1.0
1,2018-11-01,2018-11-01,1,1.0
1,2017-02-05,2017-02-05,1,1.0
1,2019-02-10,2019-02-10,1,1.0
1,2023-10-10,2023-10-10,1,1.0
1,2023-01-17,2023-01-17,1,1.0
1,2017-01-21,2017-01-21,1,1.0
1,2021-10-10,2021-10-10,1,1.0
1,2017-06-09,2017-06-09,1,1.0
1,2022-01-27,2022-01-27,1,1.0
1,2017-04-22,2017-04-22,1,1.0
1,2017-10-11,2017-10-11,1,1.0
1,2018-12-04,2018-12-04,1,1.0
1,2021-08-30,2021-08-30,1,1.0
1,2022-02-06,2022-02-06,1,1.0
1,2017-09-27,2017-09-27,1,1.0
1,2020-03-17,2020-03-17,1,1.0
1,2023-09-18,2023-09-18,1,1.0
1,2023-06-09,2023-06-09,1,1.0
1,2021-08-17,2021-08-17,1,1.0
1,2023-08-12,2023-08-12,1,1.0
1,2021-11-17,2021-11-17,1,1.0
1,2022-10-27,2022-10-27,1,1.0
1,2023-05-28,2023-05-28,1,1.0
1,2019-06-23,2019-06-23,1,1.0
1,2023-02-16,2023-02-16,1,1.0
1,2023-08-18,2023-08-18,1,1.0
1,2020-08-03,2020-08-03,1,1.0
1,2021-11-30,2021-11-30,1,1.0
1,2024-03-11,2024-03-11,1,1.0
1,2022-06-05,2022-06-05,1,1.0
